X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO,LINK_DETALLE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5722049526635,6.27864940535446,6,Cr 64C Cl 78,Terminal del Norte,https://www.medellin.gov.co/simm/camaras-cctv/imagen8.jpg,https://www.medellin.gov.co/simm/,834568.6723,1186285.6793,-75.57220495,6.27864941
-75.5701986610274,6.27608992371819,7,Cr 63 Cl 77 ,Puente del Mico,https://www.medellin.gov.co/simm/camaras-cctv/imagen7.jpg,https://www.medellin.gov.co/simm/,834790.7306,1186002.5629,-75.57019866,6.27608992
-75.5847362326706,6.26106871051155,10,Cl 54 Cr 70,La Iguaná,https://www.medellin.gov.co/simm/camaras-cctv/imagen34.jpg,https://www.medellin.gov.co/simm/,833181.6066,1184341.0492,-75.58473623,6.26106871
-75.5734548617443,6.25990090853791,11,Cr 62 Cl 58 ,Horacio Toro,https://www.medellin.gov.co/simm/camaras-cctv/imagen9.jpg,https://www.medellin.gov.co/simm/,834430.2955,1184211.8407,-75.57345486,6.25990091
-75.5786637118688,6.25276339873288,13,Cr 63 Cl 48,Suramericana,https://www.medellin.gov.co/simm/camaras-cctv/imagen10.jpg,https://www.medellin.gov.co/simm/,833853.7262,1183422.3465,-75.57866371,6.2527634
-75.5647537762748,6.24914528185787,14,Cr 46 Cl 52,Playa x Oriental,https://www.medellin.gov.co/simm/camaras-cctv/imagen15.jpg,https://www.medellin.gov.co/simm/,835393.3872,1183022.1133,-75.56475378,6.24914528
-75.5820164732004,6.24716690537788,15,Cr 63D 42C,Av Bolivariana - Deprimido Músico,https://www.medellin.gov.co/simm/camaras-cctv/imagen38.jpg,https://www.medellin.gov.co/simm/,833482.5961,1182803.3085,-75.58201647,6.2471669
-75.5785135082682,6.24137037760463,16,Cr 63A Cl 38 ,Conquistadores,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg,https://www.medellin.gov.co/simm/,833870.3193,1182162.1218,-75.57851351,6.24137038
-75.5603334955944,6.24207428304601,17,Cr 37 Cl 47 ,Intersec Bomberos,https://www.medellin.gov.co/simm/camaras-cctv/imagen45.jpg,https://www.medellin.gov.co/simm/,835882.6687,1182239.9661,-75.5603335,6.24207428
-75.5874452639484,6.23989857105629,18,Cl 34 Cr 66B,Éxito Unicentro,https://www.medellin.gov.co/simm/camaras-cctv/imagen49.jpg,https://www.medellin.gov.co/simm/,832881.6541,1181999.3537,-75.58744526,6.23989857
-75.5724946305697,6.23808013967972,19,Cl 37 Cr 50,Frente AKT,https://www.medellin.gov.co/simm/camaras-cctv/imagen42.jpg,https://www.medellin.gov.co/simm/,834536.5451,1181798.163,-75.57249463,6.23808014
-75.6020847607332,6.23100365880617,20,Cr 81 Cl 30,Av 80,https://www.medellin.gov.co/simm/camaras-cctv/imagen22.jpg,https://www.medellin.gov.co/simm/,831261.1307,1181015.5462,-75.60208476,6.23100366
-75.5753806884254,6.23055570876509,21,Cr 49 Cl 30 ,Bancolombia,https://www.medellin.gov.co/simm/camaras-cctv/imagen12.jpg,https://www.medellin.gov.co/simm/,834217.0681,1180965.8633,-75.57538069,6.23055571
-75.566701059572,6.22809198056073,22,Cr 38 Cl 18,Av Las Palmas - Urb. Punta Piedra,https://www.medellin.gov.co/simm/camaras-cctv/imagen32.jpg,https://www.medellin.gov.co/simm/,835177.8371,1180693.33,-75.56670106,6.22809198
-75.5752573068428,6.22290318201728,24,Cr 48 Cl 18A,Av Industriales - Ciudad del Río,https://www.medellin.gov.co/simm/camaras-cctv/imagen33.jpg,https://www.medellin.gov.co/simm/,834230.7089,1180119.3887,-75.57525731,6.22290318
-75.5919781983296,6.22278052852983,25,Cr 70 Cl14 ,Aeroparque,https://www.medellin.gov.co/simm/camaras-cctv/imagen48.jpg,https://www.medellin.gov.co/simm/,832379.8039,1180105.8872,-75.5919782,6.22278053
-75.5773065137486,6.21737836391727,27,Cr 43 Cl 14,High Light,https://www.medellin.gov.co/simm/camaras-cctv/imagen20.jpg,https://www.medellin.gov.co/simm/,834003.8594,1179508.273,-75.57730651,6.21737836
-75.5780360747824,6.21656243468007,28,Cr 50 Cl 25,Autopista Sur Sentido N-S - Leonisa 14 y 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen37.jpg,https://www.medellin.gov.co/simm/,833923.0982,1179418.022,-75.57803608,6.21656244
-75.5791894254644,6.21364001271526,29,Cl 10 Cr 50,Puente de La 10 sobre Av. Regional,https://www.medellin.gov.co/simm/camaras-cctv/imagen47.jpg,https://www.medellin.gov.co/simm/,833795.4188,1179094.7654,-75.57918943,6.21364001
-75.5626348310601,6.21526121156916,30,Cl 16 Cr 30,Restaurante Asia,https://www.medellin.gov.co/simm/camaras-cctv/imagen3.jpg,https://www.medellin.gov.co/simm/,835627.9463,1179274.0713,-75.56263483,6.21526121
-75.5789641205399,6.20997896246189,31,Cr 50 Cl 4,Coltabaco,https://www.medellin.gov.co/simm/camaras-cctv/imagen13.jpg,https://www.medellin.gov.co/simm/,833820.3484,1178689.8024,-75.57896412,6.20997896
-75.5783150248607,6.20897103374859,34,Cr 49 Cl 7 ,Inem,https://www.medellin.gov.co/simm/camaras-cctv/imagen21.jpg,https://www.medellin.gov.co/simm/,833892.1984,1178578.3098,-75.57831503,6.20897103
-75.5605400258024,6.20453666747349,35,Tv 7A Dg 29D,Trv Inferior con Tesoro,https://www.medellin.gov.co/simm/camaras-cctv/imagen30.jpg,https://www.medellin.gov.co/simm/,835859.842,1178087.7912,-75.56054003,6.20453667
-75.5880541259697,6.20209414931809,36,Cr 52 Cl 8S,Boca del Caribe,https://www.medellin.gov.co/simm/camaras-cctv/imagen25.jpg,https://www.medellin.gov.co/simm/,832814.0756,1177817.6695,-75.58805413,6.20209415
-75.5844921520319,6.2007875577835,37,Cr 50FF Cl 8,Sur Vivero,https://www.medellin.gov.co/simm/camaras-cctv/imagen23.jpg,https://www.medellin.gov.co/simm/,833208.3753,1177673.1266,-75.58449215,6.20078756
-75.5803669152914,6.19725707816597,38,Cr 49 Cl 7 Sur,Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen14.jpg,https://www.medellin.gov.co/simm/,833665.0224,1177282.592,-75.58036692,6.19725708
-75.5754600002415,6.2587610007545,40,Cr 65 Cl 55,Carlos E. Restrepo,https://www.medellin.gov.co/simm/camaras-cctv/imagen50.jpg,https://www.medellin.gov.co/simm/,834208.3515,1184085.7553,-75.57546,6.258761
